0,1,2,3,4
674,40136123011017,3,2,82.0
676,40134211013020,1,3,82.0
677,40250015012005,7,2,82.0
678,40250015012004,7,2,82.0
679,40136122002007,2,3,82.0
680,40130506192034,6,8,82.0
682,40190045152021,4,7,82.0
683,40130506203167,6,8,82.0
685,40130820242027,8,6,82.0
687,40131162033023,8,5,82.0
689,40136112002011,2,9,82.0
690,40130405121014,8,2,82.0
691,40131117002025,5,3,82.0
692,40131117002027,5,3,82.0
693,40131117002023,5,3,82.0
694,40136107002009,7,2,82.0
695,40190007004027,7,4,82.0
696,40130610561053,8,6,82.0
697,40131171002000,5,9,82.0
698,40131117003002,3,5,82.0
699,40130715171008,9,8,82.0
700,40130715162017,9,8,82.0
701,40130715161002,9,8,82.0
702,40130715171009,9,8,82.0
703,40130715162016,9,8,82.0
705,40131125023005,6,8,82.0
707,40130820173023,8,6,82.0
708,40131052003000,9,3,82.0
709,40190046141006,4,7,82.0
710,40131089021002,8,9,82.0
711,40136119001029,2,3,82.0
712,40138162001000,5,1,82.0
713,40138162001009,5,1,82.0
714,40131117003003,3,5,82.0
715,40131162021003,5,8,82.0
716,40136112002008,2,9,82.0
717,40136112002007,2,9,82.0
718,40136112002006,2,9,82.0
721,40136174003017,9,8,82.0
722,40136174001018,9,8,82.0
724,40190044192000,6,7,82.0
726,40133190022042,3,5,82.0
727,40210013063000,6,5,82.0
728,40130304013033,7,3,82.0
730,40130719133000,8,9,82.0
731,40136124022005,3,2,82.0
735,40136107004039,2,7,82.0
736,40136107004041,2,7,82.0
737,40210008021242,7,6,82.0
738,40131167273009,5,6,82.0
739,40131152001011,5,8,82.0
740,40210013063001,6,5,82.0
741,40131117002024,5,3,82.0
742,40190046162001,7,4,82.0
743,40136109021037,2,9,82.0
744,40131032072017,3,9,82.0
746,40210006042039,7,4,82.0
747,40131152001012,5,8,82.0
748,40131125192019,8,6,82.0
749,40210003161059,7,5,82.0
750,40190040583008,4,7,82.0
751,40131125021000,6,8,82.0
752,40136112002009,2,9,82.0
753,40131072011005,8,9,82.0
754,40190045123018,4,7,82.0
755,40210008023212,7,6,82.0
756,40131036071014,9,3,82.0
758,40130405063021,2,8,82.0
759,40190035032024,7,4,82.0
761,40190044362024,4,6,82.0
764,40159534062007,2,6,82.0
766,40138153002030,5,1,82.0
768,40131104002005,8,5,82.0
769,40059451002075,7,2,82.0
770,40059451002074,2,7,82.0
771,40059451002076,7,2,82.0
772,40131063001005,3,9,82.0
779,40131051011024,9,3,82.0
780,40131171001001,9,5,82.0
783,40131166123022,8,5,81.0
784,40050013023115,7,2,81.0
785,40050013023113,7,2,81.0
786,40050013023116,7,2,81.0
787,40210010002101,5,7,81.0
789,40130820231008,6,8,81.0
791,40210014042039,6,5,81.0
792,40131136013005,3,5,81.0
793,40131132022007,8,5,81.0
794,40210021071005,7,6,81.0
796,40210003241027,7,1,81.0
797,40131107012016,3,5,81.0
798,40131116021000,3,5,81.0
800,40131032122007,3,9,81.0
802,40131125141013,8,6,81.0
803,40131032093030,9,3,81.0
804,40138154011010,5,1,81.0
805,40138159011005,5,1,81.0
806,40130719133001,8,9,81.0
807,40190046151017,4,7,81.0
808,40190026041012,7,4,81.0
811,40130927212000,8,9,81.0
813,40131032072019,3,9,81.0
815,40132168311002,9,3,81.0
816,40136107001059,2,3,81.0
819,40134202023025,3,1,81.0
820,40132168311000,3,9,81.0
822,40138163011000,5,1,81.0
823,40138163011011,5,1,81.0
824,40138163013022,5,1,81.0
825,40131167301027,5,6,81.0
826,40131167311027,5,6,81.0
827,40130610572007,6,8,81.0
828,40190004012043,4,7,81.0
831,40131164002001,5,8,81.0
832,40131164002002,5,8,81.0
833,40131164002000,5,8,81.0
